casfri_species_codes,nfi_species_code,scientific_name,ab_species_codes,bc_species_codes,nb_species_codes,nt_species_codes,on_species_codes,ns_species_codes,sk_species_codes,yt_species_codes,pe_species_codes,qc_species_codes,mb_species_codes,nl_species_codes,pc02_species_codes,pc01_species_codes,Comment
PICE_SITC,PICE_SIT_###,Picea sitchensis ,,SS,,,,SS,,,,,,SS,,,
PICE_SITX,PICE_SIT_X##,Picea sitchensis xunknown ,,SXS,,,,,,,,,,,,,
,PICE_HYB_###,Picea xunknown,,SX,,,,,,,,,,,,,
PICE_SITX,PICE_LUT_X##,Picea xlutzii ,,SXL,,,,,,,,,,,,,
PICE_SUBS,PICE_SPP_###,Picea spp. ,,S,SP,,SX,XS,,,,EP,,,,,
PINU_ALBI,PINU_ALB_###,Pinus albicaulis ,PA,PA,,,,,,,,,,,,,
PINU_BANK,PINU_BAN_###,Pinus banksiana ,PJ,PJ,JP,PJ,PJ,JP,JP,,JP,PG,JP,JP,,PB,
PINU_CONC,PINU_CON_CON,Pinus contorta var. contorta ,,PLC,,,,,,,,,,,,,
PINU_CONL,PINU_CON_LAT,Pinus contorta var. latifolia ,,PLI,,,,,,,,,,,,,
PINU_CONT,PINU_CON_###,Pinus contorta ,PL,PL,LP,PL,,,LP,P,LP,,LP,LP,,,
PINU_FLEX,PINU_FLE_###,Pinus flexilis ,PF,PF,,,,,,,,,,,,,
PINU_MONT,PINU_MON_###,Pinus monticola ,,PW,,,,,,,,,,,,,
PINU_MURX,PINU_MUR_###,Pinus xmurraybanksiana ,,PXJ,,,,,,,,,,,,,
PINU_NIGR,PINU_NIG_###,Pinus nigra ,,,AP,,PN,AP,,,AP,,,,,,
PINU_POND,PINU_PON_###,Pinus ponderosa ,,PY,,,,,,,,,,,,,
PINU_RADI,PINU_RAD_###,Pinus radiata ,,PM,,,,,,,,,,,,,
PINU_RESI,PINU_RES_###,Pinus resinosa ,,PR,RP,,PR,RP,RP,,RP,PR,RP,RP,,,
PINU_RIGI,PINU_RIG_###,Pinus rigida ,,,,,PP,,,,,PC,,,,,
PINU_SUBS,PINU_SPP_###,Pinus spp. ,P,P,PI,P,PX,,,,,PI,,,PN,,
PINU_STRO,PINU_STR_###,Pinus strobus ,,,WP,,PW,WP,,,WP,PB,WP,WP,,,
PINU_SYLV,PINU_SYL_###,Pinus sylvestris ,,,PS,,PS,SP,SP,,SP,PS,SP,SP,,,
PLAN_OCCI,PLAT_OCC_###,Platanus occidentalis ,,,,,SY,,,,,,,,,,
POPU_ALBA,POPU_ALB_###,Populus alba ,,,,,PE,,,,,,,,,,
POPU_BALB,POPU_BAL_###,Populus balsamifera ,PB,AC,BP,PO,PB,BP,BP,B,,PA,BA,BP,,,
POPU_BALT,POPU_TRI_###,Populus trichocarpa ,,ACT,,,,,,,,,,,,,
POPU_CANA,POPU_CAN_###,Populus X canadensis,,,,,PC,,,,,,,,,,
POPU_DELT,POPU_DEL_###,Populus deltoides ,,AD,,,PD,,,,,PL,CO,,,,
POPU_DELX,POPU_DEL_MON,Populus deltoides ssp. monilifera ,,,,,,,PC,,,,,,,,
POPU_GRAN,POPU_GRA_###,Populus grandidentata ,,,LA,,PL,,,,,PD,LA,,,,
POPU_HYBR,POPU_HYB_###,Populus xunknown,,AX,,,PH,,,,,PH,,,,,
POPU_NIGR,POPU_NIG_###,Populus nigra ,,,,,,,,,,PO,,,,,QC used prior to 2018
POPU_SUBS,POPU_SPP_###,Populus spp. ,A,A,PO,,PO,TA,,,PO,PE,,,PO,PT,
POPU_TREM,POPU_TRE_###,Populus tremuloides ,AW,AT,TA,A,PT,,TA,A,,PT,TA,TA,,,
PRUN_AVIU,PRUN_AVI_###,Prunus avium ,,VS,,,CM,,,,,,,,,,
PRUN_CERA,PRUN_CES_###,Prunus cerasus,,,,,CS,,,,,,,,,,
PRUN_EMAR,PRUN_EMA_###,Prunus emarginata ,,VB,,,,,,,,,,,,,
PRUN_PENS,PRUN_PEN_###,Prunus pensylvanica ,,VP,,,CP,,,,PC,,,,,,
PRUN_SERO,PRUN_SER_###,Prunus serotina ,,,,,CB,BC,,,,CT,,,,,
PRUN_SUBS,PRUN_SPP_###,Prunus spp. ,,V,,,CH,,,,,,,,,,
PRUN_VIRG,PRUN_VIR_###,Prunus virginiana ,,VV,,,CC,,,,,,,,,,
PSEU_MENG_MEN,PSEU_MEN_MEN,Pseudotsuga  menziesii var. menziesii ,,FDC,,,,,,,,,,,,,
PSEU_MENG,PSEU_MEN_GLA,Pseudotsuga menziesii var. glauca ,,FDI,,,,,,,,,,,,,
PSEU_MENZ,PSEU_MEN_###,Pseudotsuga menziesii ,FD,FD,FD,,,DF,,,DF,,,,,,
QUER_ALBA,QUER_ALB_###,Quercus alba ,,QW,,,OW,,,,,CB,,,,,
QUER_BICO,QUER_BIC_###,Quercus bicolor ,,,,,OSW,,,,,CI,,,,,
QUER_GARR,QUER_GAR_###,Quercus garryana ,,QG,,,,,,,,,,,,,
QUER_MACR,QUER_MAC_###,Quercus macrocarpa ,,,,,OB,,BO,,,CG,BO,,,,
QUER_MUEH,QUER_MUE_###,Quercus muehlenbergii ,,,,,OCH,,,,,,,,,,
QUER_PALU,QUER_PAL_###,Quercus palustris ,,,,,OP,,,,,,,,,,
QUER_RUBR,QUER_RUB_###,Quercus rubra ,,,,,OR,RO,,,RO,CR,,,,,
QUER_SHUM,QUER_SHU_###,Quercus shumardii ,,,,,OS,,,,,,,,,,
QUER_SUBS,QUER_SPP_###,Quercus spp. ,,Q,O,,OX,,,,,CH,,,,,
QUER_SUBS,QUER_SPP_###,Quercus spp. ,,,OA,,,,,,,,,,,,
QUER_VELU,QUER_VEL_###,Quercus velutina ,,,,,OBL,,,,,,,,,,
RHAM_PURS,RHAM_PUR_###,Rhamnus purshiana ,,KC,,,,,,,,,,,,,
ROBI_PSEU,ROBI_PSE_###,Robinia pseudoacacia ,,,BL,,LB,,,,,,,,,,
ROBI_SUBS,ROBI_SPP_###,Robinia spp. ,,,,,LO,,,,,,,,,,
SALI_BEBB,SALI_BEB_###,Salix bebbiana ,,WB,,,,,,,,,,,,,
SALI_LUCI,SALI_LUC_LAS,Salix lucida ssp. lasiandra ,,,,,,,,,,,,,,,
SALI_SCOU,SALI_SCO_###,Salix scouleriana ,,WS,,,,,,,,,,,,,
SALI_SUBS,SALI_SPP_###,Salix spp. ,,W,,SA,WI,WI,,,,,W,,WW,,
SALI_SUBS,SALI_SPP_###,Salix spp. ,,,,,,,,,,,WI,,,,
SASS_ALBI,SASS_ALB_###,Sassafras albidum ,,,,,SS,,,,,,,,,,
SOFT_UNKN,GENC_SPP_###, ,,XC,OS,,OC,OS,,,,RX,,,,,Softwood unknown
SOFT_UNKN,GENC_SPP_###, ,,ZC,SW,,,US,,,,RZ,,,,,Softwood unknown (planted)
SOFT_UNKN,GENC_SPP_###, ,,,,,,S,,,,,,,,,Softwood unknown
SOFT_UNKN,GENC_SPP_###, ,,,,,,SH,,,,,,,,,Softwood unknown
SORB_AUCU,SORB_AUC_###,Sorbus aucuparia ,,OD,,,EMA,,,,,,,,,,
SORB_SUBS,SORB_SPP_###,Sorbus spp. ,,,,,AM,,,,,,,,,,
SPEC_UNKN,UNKN_SPP_###,,,X,MS,,,UC,,,,,,,,,Species unknown
SPEC_UNKN,UNKN_SPP_###,,,Z,NR,,,,,,,,,,,,Species unknown
TAXU_BREV,TAXU_BRE_###,Taxus brevifolia ,,TW,,,,,,,,,,,,,
THUJ_JUNI,JUNI_VIR_###,Juniperus virginiana ,,,,,CR,,,,,,,,,,
THUJ_OCCI,THUJ_OCC_###,Thuja occidentalis ,,,EC,,CW,EC,,,CE,TO,EC,,,,
THUJ_PLIC,THUJ_PLI_###,Thuja plicata ,,CW,WC,,,,,,,,,,,,
TILI_AMER,TILI_AME_###,Tilia americana ,,,,,BD,,,,,TA,B,,,,
TILI_AMER,TILI_AME_###,Tilia americana ,,,,,,,,,,,BD,,,,
TILI_CORD,TILI_COR_###,Tilia cordata,,,,,LL,,,,,,,,,,
TILI_PLAT,TILI_PLA_###,Tilia platyphyllos,,,,,BL,,,,,,,,,,
,TILI_SPP_###,Tilia spp. ,,,,,,,,,LI,,,,,,
TSUG_CANA,TSUG_CAN_###,Tsuga canadensis ,,,EH,,HE,EH,,,HE,PU,,,,,
TSUG_HETE,TSUG_HET_###,Tsuga heterophylla ,,HW,,,,,,,,,,,,,
TSUG_MERT,TSUG_MER_###,Tsuga mertensiana ,,HM,,,,,,,,,,,,,
TSUG_MERX,TSUG_MER_HET,Tsuga mertensiana x heterophylla ,,HXM,,,,,,,,,,,,,
TSUG_SUBS,TSUG_SPP_###,Tsuga spp. ,,H,,,,,,,,,,,,,
,TSUG_HYB_###,Tsuga xunknown,,HX,,,,,,,,,,,,,
ULMU_AMER,ULMU_AME_###,Ulmus americana ,,,,,EW,WE,WE,,EM,OA,E,,,,
ULMU_AMER,ULMU_AME_###,Ulmus americana ,,,,,,,,,,,EL,,,,
ULMU_PUMI,ULMU_PUM_###,Ulmus pupumila,,OE,,,,,,,,,,,,,
ULMU_RUBR,ULMU_RUB_###,Ulmus rubra ,,,,,ER,,,,,OO,,,,,"Used prior to 2018. Post 2018, OO are included in FH"
