values,AB03,AB06,AB07,AB08,AB10,AB11,AB16,AB25,AB29,AB30,BC08,BC10,MB01,MB02,MB04,MB05,MB06,MB07,NB01,NB02,NL01,NS01,NS02,NS03,NT01,NT03,ON02,PC01,PC02,PE01,QC02,QC03,QC04,QC05,QC06,SK01,SK02,SK03,SK04,SK05,SK06,YT01,YT02
-8888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,5962,85,353,353,NA,5369,6123
1980,61,NA,265,1,72,217,69,136,2595,1,9251,8885,NA,NA,8644,NA,7988,7291,1267,1297,1776,NA,NA,NA,NA,3,1959,NA,NA,NA,9234,NA,10959,25288,18211,10640,7,4,26735,9955,10877,256,208
1990,252,NA,NA,2,52,91,252,328,344,50,13062,12603,NA,NA,NA,NA,142,185,3008,4042,5915,NA,NA,NA,44,44,3773,NA,NA,NA,18345,130,21869,38433,49541,2546,2,NA,6949,2903,212,240,207
1974,560,NA,NA,NA,207,236,60,120,64,NA,5444,5492,NA,NA,NA,NA,36,346,187,130,346,NA,NA,NA,NA,NA,2328,NA,NA,NA,6699,73,5932,30337,11393,38,NA,NA,225,54,NA,2,2
1975,NA,NA,NA,NA,37,184,162,38,38,NA,4885,5047,NA,NA,NA,NA,34,481,356,307,1182,NA,NA,NA,NA,1,880,NA,NA,NA,7073,455,6606,22574,10820,101,NA,NA,665,253,NA,41,29
2003,NA,NA,NA,NA,NA,NA,NA,1554,1600,238,90993,77840,NA,NA,NA,NA,1676,44,6194,9960,875,NA,NA,NA,NA,NA,5012,NA,NA,NA,34981,55,23564,48366,44535,NA,14,NA,2332,2151,18,2,2
1984,58,NA,NA,NA,70,257,151,92,168,1,9044,8989,NA,NA,NA,NA,25,103,1413,2058,2167,NA,NA,NA,NA,NA,2502,NA,NA,NA,12811,115,20499,50815,22560,1399,NA,NA,1588,548,66,7,5
1978,89,NA,NA,2,160,211,60,91,114,1,7292,7350,NA,NA,NA,NA,14,304,533,569,938,NA,NA,NA,NA,NA,893,NA,NA,NA,10652,11,13092,28873,15256,211,NA,NA,929,513,NA,5,NA
1973,10,NA,NA,NA,65,303,283,81,87,1,6225,6325,NA,NA,NA,NA,67,120,105,102,291,NA,NA,NA,NA,8,270,NA,NA,NA,2374,NA,4053,17844,10130,22,NA,NA,261,112,12,3,2
1976,21,NA,NA,NA,454,316,32,93,94,17,6562,6728,NA,NA,NA,NA,103,249,398,412,1005,NA,NA,NA,NA,NA,890,NA,NA,NA,20444,1584,9598,52787,16610,76,NA,NA,302,85,NA,4,2
1972,256,NA,NA,NA,1094,575,161,108,137,7,4935,5084,NA,NA,NA,NA,11,69,134,88,286,NA,NA,NA,NA,583,434,NA,NA,NA,3772,NA,4076,10986,8859,6,NA,NA,51,NA,22,51,35
2004,NA,NA,NA,NA,NA,NA,NA,119,264,223,87222,76434,NA,NA,NA,NA,1068,81,5693,9663,577,NA,NA,NA,7,17,5302,NA,NA,NA,44958,147,27708,52125,54359,NA,17,NA,15,1,7,265,254
1971,6,NA,NA,NA,24,35,122,97,111,4,8401,8569,NA,NA,NA,NA,44,58,155,131,114,NA,NA,NA,23,220,187,NA,NA,NA,3833,1,963,23173,4732,5,NA,NA,2,NA,188,217,198
-8886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,87348,84546,69446,NA,NA,NA,NA,NA,29517,257707,19701,219835,616067,832989,NA,NA,NA,NA,NA,NA,NA,NA
1963,NA,NA,NA,NA,NA,660,32,31,41,NA,3285,3256,NA,NA,NA,NA,1,NA,43,15,328,NA,NA,NA,NA,NA,79,NA,NA,NA,207,NA,255,7727,6137,NA,NA,NA,NA,NA,11,16,10
1964,NA,NA,NA,1,NA,632,41,52,52,NA,3271,3509,NA,NA,NA,NA,1,1498,46,20,289,NA,NA,NA,NA,NA,46,NA,NA,NA,357,NA,249,5885,3294,NA,NA,NA,NA,NA,410,1,1
1967,29,NA,NA,1,8,850,104,54,55,NA,5871,5958,NA,NA,NA,NA,5,21,87,87,1026,NA,NA,NA,33,33,407,NA,NA,NA,488,95,546,7963,2992,8,NA,NA,NA,NA,NA,89,75
1955,NA,NA,NA,NA,NA,NA,NA,NA,163,NA,2157,2138,NA,NA,NA,NA,NA,79,14,11,195,NA,NA,NA,NA,2,215,NA,NA,NA,10042,NA,48,18494,478,NA,NA,NA,NA,NA,NA,492,479
1965,22,NA,5,NA,NA,911,38,57,54,NA,5591,5913,NA,NA,NA,NA,96,NA,52,36,333,NA,NA,NA,NA,1,35,NA,NA,NA,1850,NA,166,11087,2804,NA,NA,NA,NA,NA,NA,2356,2071
