values,AB03,AB06,AB07,AB08,AB10,AB11,AB16,AB25,AB29,AB30,BC08,BC10,MB01,MB02,MB04,MB05,MB06,MB07,NB01,NB02,NL01,NS01,NS02,NS03,NT01,NT03,ON02,PC01,PC02,PE01,QC02,QC03,QC04,QC05,QC06,SK01,SK02,SK03,SK04,SK05,SK06,YT01,YT02
1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585,1316,NA,NA,NA,NA,NA,NA,NA,NA,3539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,74,88491,NA,NA,NA,NA,NA,NA,NA
1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3668,3486,NA,NA,NA,65066,NA,NA,NA,NA,20246,NA,NA,NA,NA,NA,NA,NA,1053,NA,NA,NA,3,NA,116,14172,NA,NA,NA,NA,NA,NA,NA
1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2109,1645,NA,NA,NA,12400,NA,NA,NA,NA,6507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,63,120033,NA,NA,NA,NA,NA,NA,NA
1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3736,3615,NA,NA,NA,139900,NA,NA,136,737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,54,106514,NA,NA,NA,NA,NA,NA,NA
1982,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,1533,1439,NA,NA,NA,44406,NA,NA,599,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,241945,NA,NA,NA,NA,NA,NA,NA
1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,922,1310,NA,NA,NA,97085,NA,NA,248,299,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,6,NA,64,4913,NA,NA,NA,NA,NA,NA,NA
1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2382,2306,NA,NA,NA,NA,NA,NA,22,11,5530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,36,142476,NA,NA,NA,NA,NA,NA,NA
1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2272,2072,NA,NA,NA,165552,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,41927,NA,NA,NA,NA,NA,NA,NA
1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9487,4724,NA,NA,NA,52067,NA,NA,2,NA,2530,NA,NA,NA,NA,2698,NA,NA,NA,NA,NA,NA,3,NA,40,27205,NA,NA,NA,NA,NA,16196,14646
1987,NA,NA,NA,NA,231,593,NA,169383,168660,NA,42728,38579,NA,NA,NA,33399,NA,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,163,125397,NA,NA,NA,NA,NA,14616,13715
1988,NA,NA,NA,NA,9,NA,NA,915,702,NA,96439,94502,NA,NA,NA,60138,NA,NA,7,2,9673,15911,15911,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,39,105527,NA,NA,NA,NA,NA,40256,36893
1989,NA,NA,NA,NA,368,NA,NA,30,25,NA,42435,40416,NA,NA,NA,11081,NA,NA,6,8,13466,520,520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,12704,NA,NA,NA,NA,NA,69963,65140
1990,50,NA,NA,1233,NA,7,NA,10371,10345,NA,36882,35164,NA,NA,NA,30376,NA,NA,2,NA,NA,NA,NA,NA,NA,6032,NA,NA,NA,107220,NA,NA,NA,NA,488,75882,NA,NA,NA,NA,NA,11974,11043
1991,NA,NA,NA,NA,15,NA,NA,38,175,NA,132699,105389,NA,NA,NA,43567,NA,NA,6,NA,323367,NA,NA,NA,NA,7246,NA,NA,NA,NA,NA,NA,NA,NA,106,29508,NA,NA,NA,NA,NA,14,6
1992,NA,NA,NA,NA,9,NA,NA,14751,11316,NA,127111,125762,NA,NA,NA,38858,NA,NA,1,1,128615,106494,106281,34224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265,26405,NA,NA,NA,NA,NA,11327,10129
1993,38350,NA,NA,227,63792,750,6269,26100,29592,NA,14889,31020,NA,NA,NA,71159,NA,NA,10,1,49802,113,112,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,380,14858,NA,NA,NA,NA,NA,1,1
1994,23163,NA,NA,29645,98801,NA,72463,45271,30396,NA,47427,73464,NA,NA,NA,NA,NA,NA,186,6,86836,9,9,9,NA,62028,NA,NA,NA,NA,NA,NA,NA,NA,132,5810,NA,NA,NA,NA,NA,52,41
1995,NA,NA,NA,NA,NA,NA,41688,4368,784,NA,22789,28492,NA,NA,NA,39738,NA,NA,55,21,296255,5,4,NA,NA,12111,1141,NA,NA,NA,NA,NA,NA,NA,76,47735,NA,NA,NA,NA,NA,127,104
1996,NA,11412,NA,NA,26088,28,NA,84533,84396,NA,312848,260611,NA,NA,NA,220803,NA,NA,624,2156,NA,52,52,45,NA,64894,63,NA,NA,NA,NA,NA,NA,NA,225,8195,NA,NA,NA,NA,NA,1,1
1997,NA,NA,23258,3369,NA,NA,NA,35090,9081,NA,448705,477594,134790,NA,NA,125754,NA,NA,25,4,125768,139732,10,1,NA,14869,1,NA,NA,NA,NA,NA,NA,NA,145,4487,NA,NA,NA,NA,NA,NA,NA
1998,4,NA,NA,NA,NA,NA,NA,7510,15722,NA,109328,109097,NA,60370,NA,NA,63066,NA,86,1,NA,147821,96816,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,2573,81,NA,NA,11649,11649,NA,22,21
1999,NA,NA,NA,NA,NA,NA,NA,2228,590,NA,222892,216620,NA,NA,NA,NA,NA,NA,59360,9,236590,69781,68591,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,43,126,NA,NA,63788,63788,NA,46284,41524
