values,AB03,AB06,AB07,AB08,AB10,AB11,AB16,AB25,AB29,AB30,BC08,BC10,MB01,MB02,MB04,MB05,MB06,MB07,NB01,NB02,NL01,NS01,NS02,NS03,NT01,NT03,ON02,PC01,PC02,PE01,QC02,QC03,QC04,QC05,QC06,SK01,SK02,SK03,SK04,SK05,SK06,YT01,YT02
45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202238,231929,NA,NA,NA,NA,NA,NA,NA,NA,NA,38475,37201,39246,16876,16865,56824,NA,NA,NA,NA,NA,NA,496473,NA,NA,1583,479,38743,27029,9235,4623,4272
46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20607,19490,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,35,6,3,3,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420,NA,NA
47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14644,13004,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,33,1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2040,NA,NA
48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10589,12254,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,11,NA,1,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1412,NA,NA
49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12203,12820,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,24,NA,9,9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,918,NA,NA
50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,406774,422492,NA,NA,NA,NA,NA,NA,NA,NA,NA,55828,52780,48022,18922,24908,152289,NA,NA,NA,NA,NA,NA,NA,NA,NA,1454,590,44293,33638,10041,4103,3920
51,28761,5774,9829,20288,85598,45783,51492,185190,214569,NA,7326,7167,5728,9460,4139,12629,20190,8809,362579,372791,398877,29,23,5,NA,NA,3,NA,NA,6446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,743,NA,NA
52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10827,10729,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,9,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,556,NA,NA
53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10836,9437,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,16,1,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1073,NA,NA
54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8261,9388,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,13,NA,1,1,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,272,NA,NA
55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281656,305883,NA,NA,NA,NA,NA,NA,NA,NA,NA,68524,67314,68709,4970,4970,75897,NA,NA,NA,NA,NA,NA,705049,NA,NA,1938,779,67586,49730,9380,2865,2641
56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5999,7038,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,9,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,405542,NA,NA,NA,NA,257,NA,NA
57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8511,7633,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,7,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1186,NA,NA
58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8979,8851,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,8,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1090,NA,NA
59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5112,4676,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,3,NA,3,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,724,NA,NA
60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,381241,389906,NA,NA,NA,NA,NA,NA,NA,NA,NA,110337,105580,91554,23797,29447,277298,647,NA,NA,348691,29843,600273,NA,1162279,NA,2516,874,67728,49114,13084,2252,2383
61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5129,7892,10150,9930,4517,23246,23319,11946,NA,NA,NA,16,10,NA,NA,NA,8,NA,NA,9307,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,915,NA,NA
62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5216,4494,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,9,3,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,555,NA,NA
63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3753,4265,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,12,1,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1558,NA,NA
64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3059,2907,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,15,2,1,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1038,NA,NA
65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216753,228618,NA,NA,NA,NA,NA,NA,NA,NA,NA,124691,118593,119759,5840,5840,153767,NA,NA,NA,NA,NA,NA,911300,NA,NA,3064,1067,67966,46866,13041,1088,1066
66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3248,2901,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,17,3,3,3,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,499,NA,NA
67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2432,2380,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,14,1,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2420,NA,NA
68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2631,2411,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,18,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3408,NA,NA
69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1374,1264,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,11,1,1,1,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1690,NA,NA
70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183300,184980,NA,NA,NA,NA,NA,NA,NA,NA,NA,100363,95692,98298,14847,16998,386971,NA,NA,NA,NA,NA,NA,NA,NA,NA,1890,657,40295,27287,13499,807,943
71,10056,523,2014,3332,15610,2637,4905,52656,62167,NA,1170,1026,12436,9377,3943,26900,22658,15829,278901,345888,NA,18,9,NA,NA,NA,9,NA,NA,19391,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1251,NA,NA
72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1086,1148,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,10,1,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,846,NA,NA
73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,633,536,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,9,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1529,NA,NA
74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,490,404,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,15,NA,1,1,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,846,NA,NA
75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53754,57663,NA,NA,NA,NA,NA,NA,NA,NA,NA,69799,66220,50653,14488,14467,175869,NA,NA,NA,NA,NA,NA,1059694,NA,NA,1012,337,19199,11496,9256,280,313
76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,536,447,NA,NA,NA,NA,NA,NA,NA,NA,345771,19,11,1,14,14,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,564,NA,NA
