source_val,spec1,spec2,spec3,spec4,spec5,spec6,spec7,spec8,spec9
OH,Hard unkn,Hard unkn,Hard unkn,Hard unkn,Hard unkn,Hard unkn,Hard unkn,Hard unkn,Hard unkn
OP,Quer palu,Quer palu,Quer palu,Quer palu,Quer palu,Quer palu,Quer palu,Quer palu,Quer palu
OR,Quer rubr,Quer rubr,Quer rubr,Quer rubr,Quer rubr,Quer rubr,Quer rubr,Quer rubr,Quer rubr
OS,Quer shum,Quer shum,Quer shum,Quer shum,Quer shum,Quer shum,Quer shum,Quer shum,Quer shum
OSW,Quer bico,Quer bico,Quer bico,Quer bico,Quer bico,Quer bico,Quer bico,Quer bico,Quer bico
OW,Quer alba,Quer alba,Quer alba,Quer alba,Quer alba,Quer alba,Quer alba,Quer alba,Quer alba
*OX,Quer spp.,Quer spp.,Quer spp.,Quer spp.,Quer spp.,Quer spp.,Quer spp.,Quer spp.,Quer spp.
O,Quer spp.,Quer spp.,Quer spp.,Quer spp.,Quer spp.,Quer spp.,Quer spp.,Quer spp.,Quer spp.
OX,Quer spp.,Quer spp.,Quer spp.,Quer spp.,Quer spp.,Quer spp.,Quer spp.,Quer spp.,Quer spp.
PA,Asim tril,Asim tril,Asim tril,Asim tril,Asim tril,Asim tril,Asim tril,Asim tril,Asim tril
PB,Popu balb,Popu balb,Popu balb,Popu balb,Popu balb,Popu balb,Popu balb,Popu balb,Popu balb
PC,Popu cana,Popu cana,Popu cana,Popu cana,Popu cana,Popu cana,Popu cana,Popu cana,Popu cana
PD,Popu delt,Popu delt,Popu delt,Popu delt,Popu delt,Popu delt,Popu delt,Popu delt,Popu delt
PE,Popu alba,Popu alba,Popu alba,Popu alba,Popu alba,Popu alba,Popu alba,Popu alba,Popu alba
*PH,Popu delx,Popu delx,Popu delx,Popu delx,Popu delx,Popu delx,Popu delx,Popu delx,Popu delx
PH,Popu hybr,Popu hybr,Popu hybr,Popu hybr,Popu hybr,Popu hybr,Popu hybr,Popu hybr,Popu hybr
PJ,Pinu bank,Pinu bank,Pinu bank,Pinu bank,Pinu bank,Pinu bank,Pinu bank,Pinu bank,Pinu bank
PL,Popu gran,Popu gran,Popu gran,Popu gran,Popu gran,Popu gran,Popu gran,Popu gran,Popu gran
PN,Pinu nigr,Pinu nigr,Pinu nigr,Pinu nigr,Pinu nigr,Pinu nigr,Pinu nigr,Pinu nigr,Pinu nigr
PO,Popu spp.,Popu spp.,Popu spp.,Popu spp.,Popu spp.,Popu spp.,Popu spp.,Popu spp.,Popu spp.
PP,Pinu rigi,Pinu rigi,Pinu rigi,Pinu rigi,Pinu rigi,Pinu rigi,Pinu rigi,Pinu rigi,Pinu rigi
PR,Pinu resi,Pinu resi,Pinu resi,Pinu resi,Pinu resi,Pinu resi,Pinu resi,Pinu resi,Pinu resi
PS,Pinu sylv,Pinu sylv,Pinu sylv,Pinu sylv,Pinu sylv,Pinu sylv,Pinu sylv,Pinu sylv,Pinu sylv
PT,Popu trem,Popu trem,Popu trem,Popu trem,Popu trem,Popu trem,Popu trem,Popu trem,Popu trem
PW,Pinu stro,Pinu stro,Pinu stro,Pinu stro,Pinu stro,Pinu stro,Pinu stro,Pinu stro,Pinu stro
P,Pinu spp.,Pinu spp.,Pinu spp.,Pinu spp.,Pinu spp.,Pinu spp.,Pinu spp.,Pinu spp.,Pinu spp.
PX,Pinu spp.,Pinu spp.,Pinu spp.,Pinu spp.,Pinu spp.,Pinu spp.,Pinu spp.,Pinu spp.,Pinu spp.
RED,Cerc cana,Cerc cana,Cerc cana,Cerc cana,Cerc cana,Cerc cana,Cerc cana,Cerc cana,Cerc cana
*S,Pice mari,Pice mari,Pice mari,Pice mari,Pice mari,Pice mari,Pice mari,Pice mari,Pice mari
S,Pice spp.,Pice spp.,Pice spp.,Pice spp.,Pice spp.,Pice spp.,Pice spp.,Pice spp.,Pice spp.
*SA,Sass albi,Sass albi,Sass albi,Sass albi,Sass albi,Sass albi,Sass albi,Sass albi,Sass albi
SB,Pice mari,Pice mari,Pice mari,Pice mari,Pice mari,Pice mari,Pice mari,Pice mari,Pice mari
SC,Pice pung,Pice pung,Pice pung,Pice pung,Pice pung,Pice pung,Pice pung,Pice pung,Pice pung
SK,Pice koya,Pice koya,Pice koya,Pice koya,Pice koya,Pice koya,Pice koya,Pice koya,Pice koya
*SN,Pice abi,Pice abi,Pice abi,Pice abi,Pice abi,Pice abi,Pice abi,Pice abi,Pice abi
SN,Pice abie,Pice abie,Pice abie,Pice abie,Pice abie,Pice abie,Pice abie,Pice abie,Pice abie
SR,Pice rubr,Pice rubr,Pice rubr,Pice rubr,Pice rubr,Pice rubr,Pice rubr,Pice rubr,Pice rubr
SS,Sass albi,Sass albi,Sass albi,Sass albi,Sass albi,Sass albi,Sass albi,Sass albi,Sass albi
SW,Pice glau,Pice glau,Pice glau,Pice glau,Pice glau,Pice glau,Pice glau,Pice glau,Pice glau
SX,Pice spp.,Pice spp.,Pice spp.,Pice spp.,Pice spp.,Pice spp.,Pice spp.,Pice spp.,Pice spp.
SY,Plan occi,Plan occi,Plan occi,Plan occi,Plan occi,Plan occi,Plan occi,Plan occi,Plan occi
TP,Liri tuli,Liri tuli,Liri tuli,Liri tuli,Liri tuli,Liri tuli,Liri tuli,Liri tuli,Liri tuli
W,Sali spp.,Sali spp.,Sali spp.,Sali spp.,Sali spp.,Sali spp.,Sali spp.,Sali spp.,Sali spp.
WB,Jugl nigr,Jugl nigr,Jugl nigr,Jugl nigr,Jugl nigr,Jugl nigr,Jugl nigr,Jugl nigr,Jugl nigr
WI,Sali spp.,Sali spp.,Sali spp.,Sali spp.,Sali spp.,Sali spp.,Sali spp.,Sali spp.,Sali spp.
