SOURCE_VAL,SPEC1,SPEC2,SPEC3,SPEC4,SPEC5,SPEC6,SPEC7,SPEC8,SPEC9
V,Prun spp.,Prun spp.,Prun spp.,Prun spp.,Prun spp.,Prun spp.,Prun spp.,Prun spp.,Prun spp.
VS,Prun aviu,Prun aviu,Prun aviu,Prun aviu,Prun aviu,Prun aviu,Prun aviu,Prun aviu,Prun aviu
WA,Sali spp.,Sali spp.,Sali spp.,Sali spp.,Sali spp.,Sali spp.,Sali spp.,Sali spp.,Sali spp.
WB,Sali bebb,Sali bebb,Sali bebb,Sali bebb,Sali bebb,Sali bebb,Sali bebb,Sali bebb,Sali bebb
WP,Sali luci,Sali luci,Sali luci,Sali luci,Sali luci,Sali luci,Sali luci,Sali luci,Sali luci
W,Sali spp.,Sali spp.,Sali spp.,Sali spp.,Sali spp.,Sali spp.,Sali spp.,Sali spp.,Sali spp.
WS,Sali scou,Sali scou,Sali scou,Sali scou,Sali scou,Sali scou,Sali scou,Sali scou,Sali scou
XC,Soft unkn,Soft unkn,Soft unkn,Soft unkn,Soft unkn,Soft unkn,Soft unkn,Soft unkn,Soft unkn
*XH,hard unkn,hard unkn,hard unkn,hard unkn,hard unkn,hard unkn,hard unkn,hard unkn,hard unkn
XH,Hard unkn,Hard unkn,Hard unkn,Hard unkn,Hard unkn,Hard unkn,Hard unkn,Hard unkn,Hard unkn
*X,Prun pens,Prun pens,Prun pens,Prun pens,Prun pens,Prun pens,Prun pens,Prun pens,Prun pens
X,Uncl spp.,Uncl spp.,Uncl spp.,Uncl spp.,Uncl spp.,Uncl spp.,Uncl spp.,Uncl spp.,Uncl spp.
YC,Cham noot,Cham noot,Cham noot,Cham noot,Cham noot,Cham noot,Cham noot,Cham noot,Cham noot
Y,Cham noot,Cham noot,Cham noot,Cham noot,Cham noot,Cham noot,Cham noot,Cham noot,Cham noot
ZC,Soft unkn,Soft unkn,Soft unkn,Soft unkn,Soft unkn,Soft unkn,Soft unkn,Soft unkn,Soft unkn
*ZH,hard unkn,hard unkn,hard unkn,hard unkn,hard unkn,hard unkn,hard unkn,hard unkn,hard unkn
ZH,Hard unkn,Hard unkn,Hard unkn,Hard unkn,Hard unkn,Hard unkn,Hard unkn,Hard unkn,Hard unkn
Z,Uncl spp.,Uncl spp.,Uncl spp.,Uncl spp.,Uncl spp.,Uncl spp.,Uncl spp.,Uncl spp.,Uncl spp.
